
[26:19.000 --> 26:20.000]  So I,
[37:30.000 --> 37:31.000]  Yeah.
[37:31.000 --> 37:32.000]  And then COVID.
[37:32.000 --> 37:33.000]  That's right.
[37:35.000 --> 37:36.000]  Yeah, she's,
[37:36.000 --> 37:37.000]  well, now Marie works in rehab.
[37:37.000 --> 37:39.000]  She works at arts,
[37:39.000 --> 37:40.000]  which is another crazy thing
[37:40.000 --> 37:41.000]  about DCFS.
[37:41.000 --> 37:42.000]  She works in rehab,
[37:42.000 --> 37:43.000]  which is randomly drug tested
[37:43.000 --> 37:44.000]  every week, right?
[37:44.000 --> 37:45.000]  So,
[37:45.000 --> 37:46.000]  but I'll get to that.
[37:47.000 --> 37:48.000]  She teaches art therapy
[37:48.000 --> 37:50.000]  to all these drug addicts.
[37:52.000 --> 37:53.000]  She's able to work,
[37:53.000 --> 37:54.000]  and Marla's able to work,
[37:54.000 --> 37:55.000]  and everything's going fine,
[37:55.000 --> 37:57.000]  and then Steve,
[37:57.000 --> 37:59.000]  one day, comes over,
[37:59.000 --> 38:01.000]  because we're a day late,
[38:01.000 --> 38:03.000]  or there was some misinterpretation,
[38:03.000 --> 38:04.000]  and this,
[38:04.000 --> 38:05.000]  something happened,
[38:05.000 --> 38:06.000]  someone didn't communicate
[38:06.000 --> 38:07.000]  with someone about Marla,
[38:07.000 --> 38:08.000]  one who was supposed to be picked up.
[38:08.000 --> 38:10.000]  Steve knows to never come
[38:10.000 --> 38:12.000]  by place, or loft.
[38:12.000 --> 38:13.000]  He knows to never come by,
[38:13.000 --> 38:15.000]  and we don't go to his place either.
[38:15.000 --> 38:17.000]  It's an unspoken rule.
[38:17.000 --> 38:18.000]  He comes over,
[38:18.000 --> 38:19.000]  and he,
[38:19.000 --> 38:21.000]  he's wearing a mask
[38:21.000 --> 38:22.000]  that was white,
[38:22.000 --> 38:23.000]  but he drew,
[38:23.000 --> 38:24.000]  and this was really weird,
[38:24.000 --> 38:26.000]  I thought, he drew teeth.
[38:26.000 --> 38:28.000]  He's a 50 year old man,
[38:28.000 --> 38:29.000]  okay, and he drew teeth
[38:29.000 --> 38:30.000]  on the mask.
[38:31.000 --> 38:32.000]  He came over,
[38:32.000 --> 38:33.000]  and I had a security camera,
[38:33.000 --> 38:35.000]  so I had the whole thing on tape.
[38:35.000 --> 38:36.000]  It was wonderful,
[38:36.000 --> 38:37.000]  this is fucking hilarious.
[38:37.000 --> 38:38.000]  But,
[38:38.000 --> 38:39.000]  he goes,
[38:39.000 --> 38:40.000]  he comes over,
[38:40.000 --> 38:41.000]  and you know,
[38:41.000 --> 38:42.000]  you see pedestrians throw by,
[38:42.000 --> 38:43.000]  and they're just normal people,
[38:43.000 --> 38:44.000]  when you can see someone going for a run,
[38:44.000 --> 38:46.000]  and someone just walking the dog,
[38:46.000 --> 38:47.000]  but then you see a slow,
[38:47.000 --> 38:49.000]  perambling,
[38:49.000 --> 38:50.000]  what the hell is this?
[38:50.000 --> 38:51.000]  And it's, of course, Steve.
[38:51.000 --> 38:52.000]  I mean, I don't know if he's high,
[38:52.000 --> 38:54.000]  I don't know what the fuck's going on with this guy.
[38:54.000 --> 38:56.000]  But he makes it to the front door,
[38:56.000 --> 38:57.000]  he knocks,
[38:57.000 --> 38:59.000]  he blows up his one sleeve,
[38:59.000 --> 39:01.000]  he's preparing for something, obviously.
[39:01.000 --> 39:02.000]  And,
[39:02.000 --> 39:03.000]  no, I don't,
[39:03.000 --> 39:04.000]  I don't really see this in retrospect.
[39:04.000 --> 39:05.000]  At the time,
[39:05.000 --> 39:07.000]  I'm upstairs having a joke
[39:07.000 --> 39:09.000]  and laughing with Marla and Marie.
[39:09.000 --> 39:11.000]  Like, we're like on the floor laughing
[39:11.000 --> 39:13.000]  about word Al Jankiewicz,
[39:13.000 --> 39:14.000]  because Yoda,
[39:14.000 --> 39:15.000]  you know what I'm saying, Yoda?
[39:15.000 --> 39:16.000]  Why Yoda?
[39:16.000 --> 39:17.000]  Yoda is great.
[39:17.000 --> 39:18.000]  But Marla just learned it,
[39:18.000 --> 39:19.000]  so he was laughing.
[39:19.000 --> 39:20.000]  And then the door is,
[39:20.000 --> 39:21.000]  someone's knocking the door,
[39:21.000 --> 39:23.000]  and it's around five o'clock, I remember,
[39:23.000 --> 39:25.000]  because that's when Steve's always on time,
[39:25.000 --> 39:26.000]  perfectly.
[39:26.000 --> 39:27.000]  And I'm like,
[39:27.000 --> 39:28.000]  what the fuck?
[39:28.000 --> 39:29.000]  So I said,
[39:29.000 --> 39:30.000]  I'll go check,
[39:30.000 --> 39:31.000]  and I open the door,
[39:31.000 --> 39:32.000]  and I see Steve,
[39:32.000 --> 39:33.000]  and Steve goes,
[39:33.000 --> 39:34.000]  Marla,
[39:34.000 --> 39:35.000]  Marla,
[39:35.000 --> 39:36.000]  he starts screaming for Marla.
[39:36.000 --> 39:37.000]  Marie is so freaked out,
[39:37.000 --> 39:38.000]  she takes Marla,
[39:38.000 --> 39:39.000]  and she hides in the bathroom.
[39:39.000 --> 39:41.000]  It's the only door in the loft as a lock,
[39:41.000 --> 39:42.000]  and it's like,
[39:42.000 --> 39:44.000]  just the furthest,
[39:44.000 --> 39:46.000]  it's the furthest from the front door,
[39:46.000 --> 39:47.000]  actually, too.
[39:47.000 --> 39:48.000]  And I was like,
[39:48.000 --> 39:49.000]  wow,
[39:49.000 --> 39:50.000]  like she really,
[39:50.000 --> 39:51.000]  she was fucking scared.
[39:51.000 --> 39:52.000]  And I don't want her scared,
[39:52.000 --> 39:53.000]  it's just like a little,
[39:53.000 --> 39:54.000]  you know,
[39:54.000 --> 39:55.000]  puny guy can barely walk,
[39:55.000 --> 39:56.000]  so I,
[39:56.000 --> 39:57.000]  but he starts,
[39:57.000 --> 39:58.000]  he says,
[39:58.000 --> 39:59.000]  I want him to,
[39:59.000 --> 40:00.000]  I'm here to pick up Marla,
[40:00.000 --> 40:01.000]  and I say,
[40:01.000 --> 40:02.000]  no, you're not,
[40:02.000 --> 40:03.000]  you cannot be here,
[40:03.000 --> 40:04.000]  you're not supposed to be here.
[40:04.000 --> 40:05.000]  What are you doing here?
[40:05.000 --> 40:06.000]  You gotta go.
[40:06.000 --> 40:07.000]  No, I'm picking up Marla,
[40:07.000 --> 40:08.000]  it's five o'clock,
[40:08.000 --> 40:09.000]  look, just,
[40:09.000 --> 40:10.000]  let me put on some shoes,
[40:10.000 --> 40:11.000]  and some socks,
[40:11.000 --> 40:12.000]  and a jacket,
[40:12.000 --> 40:13.000]  and I was,
[40:13.000 --> 40:14.000]  I wasn't fully dressed,
[40:14.000 --> 40:15.000]  I was like,
[40:15.000 --> 40:16.000]  sweatpants,
[40:16.000 --> 40:17.000]  and shirt.
[40:17.000 --> 40:18.000]  Let me come outside,
[40:18.000 --> 40:19.000]  and I'll,
[40:19.000 --> 40:20.000]  and I'll talk to you about it.
[40:20.000 --> 40:21.000]  He said,
[40:21.000 --> 40:22.000]  well,
[40:22.000 --> 40:23.000]  there's not much to talk about,
[40:23.000 --> 40:24.000]  but okay,
[40:24.000 --> 40:25.000]  so he goes back,
[40:25.000 --> 40:26.000]  I close the door,
[40:26.000 --> 40:27.000]  and now,
[40:27.000 --> 40:28.000]  what I learned later,
[40:28.000 --> 40:29.000]  is when I closed the door,
[40:29.000 --> 40:31.000]  he whipped out his cell phone,
[40:31.000 --> 40:32.000]  and he opened up an app,
[40:32.000 --> 40:35.000]  and he starts flipping through porn.
[40:35.000 --> 40:37.000]  Normal, right?
[40:38.000 --> 40:39.000]  No, not,
[40:39.000 --> 40:40.000]  very odd behavior.
[40:40.000 --> 40:41.000]  I was like,
[40:41.000 --> 40:42.000]  what the fuck,
[40:42.000 --> 40:43.000]  but it wasn't like porn porn,
[40:43.000 --> 40:45.000]  it was like dating site porn,
[40:45.000 --> 40:47.000]  with the couples.
[40:47.000 --> 40:48.000]  It was fucking weird,
[40:48.000 --> 40:49.000]  right?
[40:49.000 --> 40:50.000]  To come over to the house,
[40:50.000 --> 40:51.000]  not gonna be angry at me,
[40:51.000 --> 40:52.000]  because he was kind of like,
[40:52.000 --> 40:53.000]  his voice was raised,
[40:53.000 --> 40:54.000]  I'm telling you,
[40:54.000 --> 40:55.000]  like a really brief version,
[40:55.000 --> 40:56.000]  but then just like,
[40:56.000 --> 40:57.000]  not chill out,
[40:57.000 --> 40:58.000]  like,
[40:58.000 --> 40:59.000]  it was very strange.
[40:59.000 --> 41:00.000]  I tell him,
[41:00.000 --> 41:01.000]  look, it's okay,
[41:01.000 --> 41:02.000]  I'm gonna handle it,
[41:02.000 --> 41:03.000]  and Marla says,
[41:03.000 --> 41:04.000]  you know what,
[41:04.000 --> 41:05.000]  my dad,
[41:05.000 --> 41:06.000]  he just needs to be reassured,
[41:06.000 --> 41:07.000]  and Marla's like,
[41:07.000 --> 41:08.000]  no, no, no,
[41:08.000 --> 41:09.000]  no reassuring,
[41:09.000 --> 41:10.000]  just stay here with me in the bathtub,
[41:10.000 --> 41:11.000]  and like,
[41:11.000 --> 41:12.000]  you guys are just gonna be fine,
[41:12.000 --> 41:13.000]  I'm just gonna talk to him,
[41:13.000 --> 41:14.000]  and you'll leave.
[41:14.000 --> 41:15.000]  So I get dressed,
[41:15.000 --> 41:16.000]  I open the door,
[41:16.000 --> 41:17.000]  and the door opens up this way,
[41:17.000 --> 41:19.000]  and then as my door,
[41:19.000 --> 41:20.000]  as the door's open,
[41:20.000 --> 41:21.000]  he comes in,
[41:21.000 --> 41:22.000]  shoulder,
[41:22.000 --> 41:23.000]  right here,
[41:23.000 --> 41:24.000]  to break my,
[41:24.000 --> 41:25.000]  my,
[41:25.000 --> 41:26.000]  my grip,
[41:26.000 --> 41:27.000]  on the door,
[41:27.000 --> 41:28.000]  but I,
[41:28.000 --> 41:29.000]  he's not that strong,
[41:29.000 --> 41:30.000]  so I,
[41:30.000 --> 41:31.000]  he doesn't break my grip,
[41:31.000 --> 41:32.000]  he just makes me upset,
[41:32.000 --> 41:33.000]  so I grab,
[41:33.000 --> 41:34.000]  and I pull him out,
[41:34.000 --> 41:35.000]  and he doesn't quite hit the car,
[41:35.000 --> 41:37.000]  his first reaction is,
[41:37.000 --> 41:38.000]  oh, my back,
[41:38.000 --> 41:39.000]  right,
[41:39.000 --> 41:40.000]  like a,
[41:40.000 --> 41:41.000]  sort of like a,
[41:41.000 --> 41:42.000]  childish thing,
[41:42.000 --> 41:43.000]  very strange,
[41:43.000 --> 41:44.000]  for a 50-year-old man,
[41:44.000 --> 41:45.000]  and I said,
[41:45.000 --> 41:46.000]  oh, shut the fuck up,
[41:46.000 --> 41:47.000]  and now you can hear me,
[41:47.000 --> 41:48.000]  the profanity's out,
[41:48.000 --> 41:49.000]  I'm like,
[41:49.000 --> 41:50.000]  are you stupid,
[41:50.000 --> 41:51.000]  are you that stupid,
[41:51.000 --> 41:52.000]  I mean,
[41:52.000 --> 41:53.000]  to fight a,
[41:53.000 --> 41:54.000]  you know,
[41:54.000 --> 41:55.000]  and I said,
[41:55.000 --> 41:56.000]  this is California,
[41:56.000 --> 41:57.000]  this is,
[41:57.000 --> 41:58.000]  you know,
[41:58.000 --> 41:59.000]  good thing I'm not like California,
[41:59.000 --> 42:00.000]  because,
[42:00.000 --> 42:01.000]  you know,
[42:01.000 --> 42:02.000]  they carry guns,
[42:02.000 --> 42:03.000]  like,
[42:03.000 --> 42:04.000]  people can have guns,
[42:04.000 --> 42:05.000]  I don't even have a gun,
[42:05.000 --> 42:06.000]  you know,
[42:06.000 --> 42:07.000]  things like this,
[42:07.000 --> 42:08.000]  and then he,
[42:08.000 --> 42:09.000]  he,
[42:09.000 --> 42:10.000]  I said,
[42:10.000 --> 42:11.000]  look,
[42:11.000 --> 42:12.000]  this is on camera,
[42:12.000 --> 42:13.000]  then he's like,
[42:13.000 --> 42:14.000]  you just lost,
[42:14.000 --> 42:15.000]  you just lost the divorce,
[42:15.000 --> 42:16.000]  you just lost everything,
[42:16.000 --> 42:17.000]  you fucked up man,
[42:17.000 --> 42:18.000]  you gotta go now,
[42:18.000 --> 42:19.000]  he's like,
[42:19.000 --> 42:20.000]  I'm not leaving,
[42:20.000 --> 42:21.000]  so,
[42:21.000 --> 42:22.000]  short version is,
[42:22.000 --> 42:24.000]  I throw him out to the sidewalk,
[42:24.000 --> 42:26.000]  I push him until he's in the,
[42:26.000 --> 42:27.000]  it's still private property,
[42:27.000 --> 42:28.000]  but I just sort of say,
[42:28.000 --> 42:29.000]  now you're in the streets,
[42:29.000 --> 42:30.000]  you can leave us alone though,
[42:30.000 --> 42:31.000]  and I tell you,
[42:31.000 --> 42:32.000]  I will,
[42:32.000 --> 42:33.000]  and I made him a promise,
[42:33.000 --> 42:34.000]  I will bring Marlo out,
[42:34.000 --> 42:35.000]  you can say hello to Marlo,
[42:35.000 --> 42:36.000]  I will bring him out,
[42:36.000 --> 42:37.000]  and you have my word on that,
[42:37.000 --> 42:39.000]  but you have to be by your car,
[42:39.000 --> 42:41.000]  you cannot be on our property,
[42:41.000 --> 42:42.000]  and you can agree to do it,
[42:42.000 --> 42:43.000]  go to his car,
[42:43.000 --> 42:44.000]  so Marlo,
[42:44.000 --> 42:46.000]  please do me a favor,
[42:46.000 --> 42:47.000]  can you come out with me,
[42:47.000 --> 42:49.000]  but just don't let go of my hand,
[42:49.000 --> 42:50.000]  and Marlo says,
[42:50.000 --> 42:51.000]  okay,
[42:51.000 --> 42:52.000]  and he does not let go of my hand
[42:52.000 --> 42:53.000]  all the time,
[42:53.000 --> 42:54.000]  because I know he's gonna try and steal him,
[42:54.000 --> 42:55.000]  and he tried twice,
[42:55.000 --> 42:56.000]  the whole time,
[42:56.000 --> 42:59.000]  I recorded everything on my phone,
[42:59.000 --> 43:00.000]  it's all,
[43:00.000 --> 43:01.000]  it's all there,
[43:01.000 --> 43:02.000]  and the video camera,
[43:02.000 --> 43:04.000]  so when that incident occurred,
[43:04.000 --> 43:05.000]  Marie and I sat down and talked,
[43:05.000 --> 43:06.000]  and she said,
[43:06.000 --> 43:08.000]  the deterioration has gone severe,
[43:08.000 --> 43:11.000]  this is a line that's crossed,
[43:11.000 --> 43:14.000]  and Marie's in the middle of the forest,
[43:14.000 --> 43:16.000]  and to cross this line,
[43:16.000 --> 43:18.000]  in the middle of the forest,
[43:18.000 --> 43:19.000]  is very stupid,
[43:19.000 --> 43:20.000]  okay,
[43:20.000 --> 43:22.000]  so that means the brain has deteriorated
[43:22.000 --> 43:24.000]  further than we even imagined,
[43:24.000 --> 43:26.000]  so Marie is very concerned,
[43:26.000 --> 43:27.000]  and she's like,
[43:27.000 --> 43:30.000]  I'm not giving Marlo back down,
[43:30.000 --> 43:32.000]  so she holds on to Marlo
[43:32.000 --> 43:34.000]  for the last five months,
[43:34.000 --> 43:35.000]  so we had Marlo,
[43:35.000 --> 43:36.000]  and we were like,
[43:36.000 --> 43:37.000]  it's fun to have like,
[43:37.000 --> 43:38.000]  now we're like a family,
[43:38.000 --> 43:39.000]  for five months,
[43:39.000 --> 43:40.000]  we found Marlo,
[43:40.000 --> 43:41.000]  you know,
[43:41.000 --> 43:43.000]  we all got to know each other,
[43:43.000 --> 43:44.000]  and Marlo,
[43:44.000 --> 43:45.000]  you know,
[43:45.000 --> 43:46.000]  it's really funny,
[43:46.000 --> 43:48.000]  it was nice.
[43:48.000 --> 43:51.000]  How long have you been living with Marlo?
[43:51.000 --> 43:53.000]  Two and a half years now,
[43:53.000 --> 43:54.000]  but you know,
[43:54.000 --> 43:55.000]  you see Marlo every other week.
[43:55.000 --> 43:56.000]  Like five months?
[43:56.000 --> 43:57.000]  Yeah, yeah,
[43:57.000 --> 43:59.000]  it was a lot at first,
[43:59.000 --> 44:00.000]  especially for me,
[44:00.000 --> 44:01.000]  but I got used to it,
[44:01.000 --> 44:02.000]  it wasn't,
[44:02.000 --> 44:03.000]  it wasn't so,
[44:03.000 --> 44:04.000]  you know,
[44:04.000 --> 44:07.000]  I thought it was going to be even worse for me,
[44:07.000 --> 44:08.000]  but you know,
[44:08.000 --> 44:09.000]  expect the worst.
[44:09.000 --> 44:10.000]  It's a good day,
[44:10.000 --> 44:11.000]  it could go any way.
[44:11.000 --> 44:13.000]  Yeah, it's true, it's true,
[44:13.000 --> 44:14.000]  but you know,
[44:14.000 --> 44:15.000]  and we'd see Steven,
[44:15.000 --> 44:16.000]  and the fear,
[44:16.000 --> 44:17.000]  see the fear and the lying,
[44:17.000 --> 44:19.000]  and we'd try to teach him to not lie,
[44:19.000 --> 44:20.000]  like he starts lying,
[44:20.000 --> 44:21.000]  like he talks,
[44:21.000 --> 44:22.000]  I said,
[44:22.000 --> 44:23.000]  Marlo,
[44:23.000 --> 44:24.000]  why are these lies?
[44:24.000 --> 44:25.000]  And we know where they come from,
[44:25.000 --> 44:26.000]  because Steve,
[44:26.000 --> 44:27.000]  this is how Steve talks,
[44:27.000 --> 44:28.000]  he lies constantly,
[44:28.000 --> 44:29.000]  he's always,
[44:29.000 --> 44:30.000]  he's always,
[44:30.000 --> 44:33.000]  and we felt like we made some progress,
[44:33.000 --> 44:34.000]  you know,
[44:34.000 --> 44:35.000]  he was,
[44:35.000 --> 44:36.000]  he had more self-confidence,
[44:36.000 --> 44:37.000]  like he was afraid of dancing,
[44:37.000 --> 44:38.000]  and eight year old,
[44:38.000 --> 44:39.000]  afraid of dancing,
[44:39.000 --> 44:40.000]  because he's self-conscious,
[44:40.000 --> 44:41.000]  he's fucking silly,
[44:41.000 --> 44:42.000]  so we started dancing more
[44:42.000 --> 44:43.000]  to make him less self-conscious,
[44:43.000 --> 44:44.000]  and we did these kung fu outfits,
[44:44.000 --> 44:46.000]  so we pretended we were kung fu fighting,
[44:46.000 --> 44:47.000]  you know,
[44:47.000 --> 44:48.000]  saw him kung fu fighting,
[44:48.000 --> 44:49.000]  he loves it,
[44:49.000 --> 44:50.000]  so his confidence is back,
[44:50.000 --> 44:51.000]  he's happy,
[44:51.000 --> 44:52.000]  and he fucking said to me,
[44:52.000 --> 44:53.000]  three days before this,
[44:53.000 --> 44:54.000]  all went to shit,
[44:54.000 --> 44:55.000]  he said,
[44:55.000 --> 44:56.000]  well,
[44:56.000 --> 44:57.000]  I wish you were my father,
[44:57.000 --> 44:58.000]  he said to me,
[44:58.000 --> 44:59.000]  and it broke my heart,
[44:59.000 --> 45:00.000]  it broke my heart,
[45:00.000 --> 45:01.000]  I mean,
[45:01.000 --> 45:02.000]  I felt great and warm,
[45:02.000 --> 45:03.000]  but it also broke my heart,
[45:03.000 --> 45:04.000]  you know,
[45:04.000 --> 45:05.000]  and I know that feeling,
[45:05.000 --> 45:06.000]  because I grew up in foster care,
[45:06.000 --> 45:07.000]  you know,
[45:07.000 --> 45:08.000]  I know that feeling,
[45:08.000 --> 45:10.000]  I've been to two different,
[45:10.000 --> 45:11.000]  different families,
[45:11.000 --> 45:12.000]  and different mothers,
[45:12.000 --> 45:13.000]  and different fathers,
[45:13.000 --> 45:16.000]  I had two brothers once in foster care,
[45:16.000 --> 45:17.000]  you know,
[45:17.000 --> 45:18.000]  you know, home.
[45:18.000 --> 45:19.000]  You remember it pretty well?
[45:19.000 --> 45:20.000]  Yeah, yeah,
[45:20.000 --> 45:22.000]  and one I don't,
[45:22.000 --> 45:23.000]  two I remember pretty well,
[45:23.000 --> 45:26.000]  the last one I remember very well,
[45:26.000 --> 45:27.000]  because there was,
[45:27.000 --> 45:29.000]  there wasn't the horrible system
[45:29.000 --> 45:30.000]  that you hear about,
[45:30.000 --> 45:32.000]  this is a nice happy Jewish family,
[45:32.000 --> 45:33.000]  a loving family,
[45:33.000 --> 45:34.000]  they're like good people,
